Zip Code*Community*Income
90290*Topanga*99505
90291*Los Angeles (Venice)*80111
90292*"Los Angeles (Marina Peninsula), Marina del Rey"*100507
90293*Los Angeles (Playa del Rey)*82055
90301*Inglewood*37424
90302*Inglewood*41426
90303*Inglewood*39671
90304*"Inglewood, Lennox"*36412
90305*Inglewood*65633
90401*Santa Monica (Downtown)*62703
90402*Santa Monica*134638
90403*Santa Monica*78151
90404*Santa Monica*66623
90405*"Santa Monica (Ocean Park, Santa Monica Airport, Sunpark)"*77948
90501*Torrance*61536
90502*"Torrance, West Carson"*64232
90503*Torrance*76431
90504*Torrance*73380
90505*Torrance*86588
90601*"City of Industry, Whittier"*71366
90602*Whittier*48109
90603*Whittier*88862
90604*"East La Mirada, South Whittier, Whittier"*65295
90605*"South Whittier, Whittier"*65952
90606*"Los Nietos, West Whittier"*64393
90623*Cerritos (overlaps Orange County)*82182
90630*Hawaiian Gardens (overlaps Orange County)*81889
90631*La Habra Heights*67797
90638*La Mirada*78373
90640*Montebello*45898
90650*Norwalk*59756
90660*Pico Rivera*55758
90670*Santa Fe Springs*54674
90701*Artesia*60749
90703*Cerritos*89720
90704*"Avalon, Santa Catalina Island"*60333
90706*Bellflower*48823
90710*Los Angeles (Harbor City)*52294
90712*Lakewood*80150
90713*Lakewood*86543
90715*Lakewood*63604
90716*Hawaiian Gardens*37543
90717*Lomita*56103
90723*Paramount*45792
90731*"Los Angeles (San Pedro, Terminal Island)"*50879
90732*"Los Angeles (San Pedro), Rancho Palos Verdes"*84679
90740*Long Beach (overlaps Orange County)*54864
90744*Los Angeles (Wilmington)*41569
90745*Carson*71443
90746*Carson*77260
90755*Signal Hill*65935
90802*Long Beach*42829
90803*"Long Beach (Belmont Shore, Marina, Naples)"*75197
90804*Long Beach (East Long Beach)*44877
90805*Long Beach (North Long Beach)*44815
90806*Long Beach*44144
90807*Long Beach (Bixby Knolls)*72010
90808*Long Beach*96360
90810*"Carson, Dominguez, Long Beach"*49517
90813*Long Beach*30936
90814*Long Beach*55116
90815*Long Beach*78137
91001*Altadena*86310
91006*Arcadia*83986
91007*Arcadia*71557
91008*Bradbury*90000
91010*"Azusa, Bradbury, Duarte, Irwindale, Monrovia"*60793
91011*La Cañada Flintridge*156933
91016*Monrovia*70307
91020*Montrose*69067
91024*Sierra Madre*92384
91030*South Pasadena*79089
91040*"Los Angeles (Shadow Hills, Sunland)"*71411
91042*Los Angeles (Tujunga)*58020
91046*Glendale (Verdugo City)*15568
91101*Pasadena*61180
91103*Pasadena*62037
91104*Pasadena*71429
91105*Pasadena*107209
91106*Pasadena*74756
91107*Pasadena*83904
91108*San Marino*134286
91201*Glendale*49215
91202*Glendale*63037
91203*Glendale*41400
91204*Glendale (Tropico)*42277
91205*Glendale (Tropico)*36971
91206*Glendale*52277
91207*Glendale*89333
91208*Glendale*103860
91210*Glendale (Glendale Galleria PO Boxes)*158162
91214*"Glendale, La Crescenta, Montrose"*87612
91301*"Agoura Hills, Cornell"*114417
91302*"Calabasas, Hidden Hills, Monte Nido"*114688
91303*Los Angeles (Canoga Park)*45793
91304*"Los Angeles (Canoga Park, West Hills), Box Canyon"*61339
91306*Los Angeles (Winnetka)*61529
91307*"Los Angeles (West Hills), Bell Canyon"*100075
91311*Los Angeles (Chatsworth)*80593
91316*Los Angeles (Encino)*61539
91321*Santa Clarita (Newhall)*59549
91324*Los Angeles (Northridge)*61958
91325*Los Angeles (Northridge)*60774
91326*"Los Angeles (Northridge, Porter Ranch)"*101073
91331*"Los Angeles (Arleta, Hansen Hills, Pacoima)"*51986
91335*Los Angeles (Reseda)*51206
91340*"San Fernando, Los Angeles (Mission Hills, Pacoima)"*54182
91342*"Los Angeles (Lake View Terrace, Sylmar), Kagel Canyon"*60361
91343*Los Angeles (North Hills)*55956
91344*Los Angeles (Granada Hills)*79680
91345*Los Angeles (Mission Hills)*61728
91350*"Bouquet Canyon, Green Valley, Mint Canyon, Santa Clarita (Canyon County)"*100387
91351*Santa Clarita (Canyon Country)*68197
91352*"Los Angeles (La Tuna Canyon, Sun Valley)"*51154
91354*Santa Clarita (Valencia)*112524
91355*Santa Clarita (Valencia)*88861
91356*Los Angeles (Tarzana)*68078
91361*Westlake Village*104807
91362*Westlake Village*103958
91364*Los Angeles (Woodland Hills)*92830
91367*Los Angeles (Woodland Hills)*80083
91381*Stevenson Ranch*114610
91384*"Castaic, Val Verdes"*101505
91387*"Santa Clarita (Canyon Country), Fair Oaks Ranch, Mint Canyon"*82745
91390*"Agua Dulce, Green Valley, Santa Clarita (Saugus)"*106374
91401*"Los Angeles (Valley Glen, Van Nuys)"*50418
91402*Los Angeles (Panorama City)*37190
91403*"Los Angeles (Sherman Oaks, Van Nuys)"*80890
91405*Los Angeles (Valley Glen)*39013
91406*"Los Angeles (Lake Balboa* Van Nuys)"*49835
91411*Los Angeles (Van Nuys)*45667
91423*"Los Angeles (Sherman Oaks, Van Nuys)"*79028
91436*Los Angeles (Encino)*135585
91501*Burbank*60158
91502*Burbank*40057
91504*Burbank (Glenoaks)*70608
91505*Burbank*76357
91506*Burbank*71495
91601*"Los Angeles (North Hollywood, Toluca Terrace)"*48499
91602*"Los Angeles (North Hollywood, Studio City, Toluca Lake, West Toluca Lake)"*65920
91604*"Los Angeles (North Hollywood, Studio City)"*90801
91605*Los Angeles (North Hollywood)*42254
91606*"Los Angeles (North Hollywood, Valley Glen)"*41498
91607*"Los Angeles (North Hollywood, Sherman Village, Valley Glen, Valley Village)"*53531
91702*"Azusa, Irwindale"*55651
91706*"Baldwin Park, Irwindale"*51706
91711*Claremont*89161
91722*Covina*66512
91723*Covina*60911
91724*"Charter Oak, Covina"*76065
91731*El Monte*35120
91732*El Monte*41020
91733*"El Monte, South El Monte"*39379
91740*Glendora*67063
91741*Glendora*84957
91744*"City of Industry, La Puente, Valinda"*58641
91745*Hacienda Heights*78000
91746*"Avocado Heights, Bassett, West Puente Valley"*60178
91748*"City of Industry, Rowland Heights"*58502
91750*La Verne*75635
91754*Monterey Park*57463
91755*Monterey Park*49220
91759*Mount Baldy (Portion in LA County)*55536
91765*Diamond Bar*90522
91766*Pomona (Phillips Ranch)*49895
91767*Pomona*50551
91768*Pomona*44859
91770*Rosemead*46729
91773*San Dimas*77742
91775*San Gabriel*75876
91776*San Gabriel*46746
91780*Temple City*63410
91789*"City of Industry, Diamond Bar, Walnut"*93301
91790*West Covina*70888
91791*West Covina*71528
91792*West Covina*66489
91801*Alhambra*51793
91803*Alhambra*56928
93510*Acton*86944
93523*Edwards AFB (Portion in LA County)*52892
93532*"Elizabeth Lake, Lake Hughes, Leona Valley, Sandberg, Three Points"*55000
93534*Lancaster*35434
93535*"Hi Vista, Lake Los Angeles, Lancaster, Roosevelt Corner, Wilsona Gardens"*40588
93536*"Del Sur, Fairmont, Lancaster, Metler Valley, Neenach, Quartz Hill"*70195
93543*"Juniper Hills, Littlerock, Sun Village"*53241
93544*"Crystalaire, Llano"*56205
93550*"Lake Los Angeles, Palmdale"*37669
93551*"City Ranch, Leona Valley, Palmdale"*84486
93552*Palmdale*54132
93553*"Juniper Hills, Pearblossom"*52639
93563*"Pearblossom, Valyermo"*57417
93591*"Lake Los Angeles, Palmdale"*40805
